<<<<<<< HEAD
"","formatted_address","province","citycode","city","district","adcode","lng","lat","Name","geo","X.1"
"36","江苏省镇江市句容市茅山苏省茅山风景区","江苏省",511,"ZJ","句容市",321183,119.314299,31.78149,"镇江茅山风景区","c(119.314299"," 31.78149)"
"37","江苏省镇江市京口区焦山风景区","江苏省",511,"ZJ","京口区",321102,119.488446,32.23202,"镇江焦山风景区","c(119.488446"," 32.23202)"
"38","江苏省镇江市句容市国家森林公园","江苏省",511,"ZJ","句容市",321183,119.093133,32.14045,"镇江宝华山国家森林公园","c(119.093133"," 32.14045)"
"39","江苏省常州市钟楼区亚细亚影视城","江苏省",519,"CZ","钟楼区",320404,119.947813,31.78206,"常州亚细亚影视城","c(119.947813"," 31.78206)"
"40","江苏省连云港市海州区渔湾风景区","江苏省",518,"LYG","海州区",320706,119.335871,34.64427,"连云港渔湾风景区","c(119.335871"," 34.64427)"
"41","江苏省南京市秦淮区朝天宫景区","江苏省",25,"NJ","秦淮区",320104,118.775271,32.03433,"南京朝天宫景区","c(118.775271"," 32.03433)"
"42","江苏省南京市玄武区玄武湖景区","江苏省",25,"NJ","玄武区",320102,118.798908,32.07235,"南京玄武湖景区","c(118.798908"," 32.07235)"
"43","江苏省无锡市滨湖区蠡园公园","江苏省",510,"WX","滨湖区",320211,120.259931,31.51795,"无锡蠡园公园","c(120.259931"," 31.51795)"
"44","江苏省无锡市梁溪区薛福成故居","江苏省",510,"WX","梁溪区",320213,120.295938,31.57104,"无锡薛福成故居","c(120.295938"," 31.57104)"
"45","江苏省徐州市泉山区云龙湖景区","江苏省",516,"XZ","泉山区",320311,117.138972,34.24665,"徐州云龙湖景区","c(117.138972"," 34.24665)"
"46","江苏省徐州市新沂市马陵山景区","江苏省",516,"XZ","新沂市",320381,118.34692,34.19528,"新沂马陵山景区","c(118.34692"," 34.19528)"
"47","江苏省苏州市常熟市常熟","江苏省",512,"SZ","常熟市",320581,120.757951,31.64956,"常熟沙家浜景区","c(120.757951"," 31.64956)"
"48","江苏省苏州市昆山市锦溪古镇","江苏省",512,"SZ","昆山市",320583,120.899876,31.17649,"昆山锦溪古镇","c(120.899876"," 31.17649)"
"49","江苏省苏州市昆山市亭林园","江苏省",512,"SZ","昆山市",320583,120.949646,31.39079,"昆山亭林园","c(120.949646"," 31.39079)"
"50","江苏省苏州市吴江区静思园","江苏省",512,"SZ","吴江区",320509,120.687515,31.16027,"吴江静思园","c(120.687515"," 31.16027)"
"51","江苏省淮安市淮安区周恩来纪念馆","江苏省",517,"HA","淮安区",320803,119.150375,33.51587,"淮安周恩来纪念馆","c(119.150375"," 33.51587)"
"52","江苏省扬州市广陵区个园","江苏省",514,"YZ","广陵区",321002,119.443762,32.399,"扬州个园","c(119.443762"," 32.399)"
"53","江苏省扬州市广陵区何园","江苏省",514,"YZ","广陵区",321002,119.44885,32.38569,"扬州何园","c(119.44885"," 32.38569)"
"54","江苏省镇江市润州区镇江博物馆","江苏省",511,"ZJ","润州区",321111,119.432106,32.21332,"镇江博物馆","c(119.432106"," 32.21332)"
"55","江苏省泰州市姜堰区姜堰","江苏省",523,"TZ","姜堰区",321204,120.11585,32.51875,"姜堰溱湖旅游区","c(120.11585"," 32.51875)"
"56","江苏省苏州市姑苏区寒山寺","江苏省",512,"SZ","姑苏区",320508,120.568292,31.3102,"苏州寒山寺","c(120.568292"," 31.3102)"
"57","江苏省苏州市姑苏区戒幢律寺","江苏省",512,"SZ","姑苏区",320508,120.58826,31.31421,"苏州西园戒幢律寺","c(120.58826"," 31.31421)"
"58","江苏省无锡市宜兴市竹海景区","江苏省",510,"WX","宜兴市",320282,119.708041,31.1713,"宜兴竹海景区","c(119.708041"," 31.1713)"
"59","江苏省无锡市宜兴市龙背山森林公园","江苏省",510,"WX","宜兴市",320282,119.81621,31.32711,"宜兴龙背山森林公园","c(119.81621"," 31.32711)"
"60","江苏省无锡市宜兴市宜兴","江苏省",510,"WX","宜兴市",320282,119.805597,31.34258,"宜兴团氿景区","c(119.805597"," 31.34258)"
"61","江苏省无锡市江阴市滨江要塞旅游区","江苏省",510,"WX","江阴市",320281,120.277352,31.92613,"江阴滨江要塞旅游区","c(120.277352"," 31.92613)"
"62","江苏省常州市溧阳市南山竹海景区","江苏省",519,"CZ","溧阳市",320481,119.492489,31.31011,"溧阳市天目湖南山竹海景区","c(119.492489"," 31.31011)"
"63","江苏省南京市江宁区阳山碑材","江苏省",25,"NJ","江宁区",320115,119.001861,32.06259,"南京明文化村（阳山碑材）景区","c(119.001861"," 32.06259)"
"64","江苏省徐州市云龙区徐州汉文化景区","江苏省",516,"XZ","云龙区",320303,117.222457,34.24607,"徐州汉文化景区","c(117.222457"," 34.24607)"
"65","江苏省徐州市泉山区彭祖园","江苏省",516,"XZ","泉山区",320311,117.187352,34.2405,"徐州彭祖园景区","c(117.187352"," 34.2405)"
"66","江苏省苏州市虎丘区白马涧生态园","江苏省",512,"SZ","虎丘区",320505,120.49602,31.29992,"苏州白马涧生态园","c(120.49602"," 31.29992)"
"67","江苏省苏州市常熟市方塔古迹名胜区","江苏省",512,"SZ","常熟市",320581,120.749667,31.64546,"常熟方塔古迹名胜区","c(120.749667"," 31.64546)"
"68","江苏省淮安市盱眙县国家森林公园","江苏省",517,"HA","盱眙县",320830,118.484623,32.76973,"盱眙铁山寺国家森林公园","c(118.484623"," 32.76973)"
"69","江苏省盐城市大丰区大丰","江苏省",515,"YC","大丰区",320904,120.783069,33.20538,"大丰中华麋鹿园景区","c(120.783069"," 33.20538)"
"70","江苏省镇江市润州区镇江南山风景名胜区","江苏省",511,"ZJ","润州区",321111,119.412707,32.19138,"镇江南山风景名胜区","c(119.412707"," 32.19138)"
"71","江苏省常州市天宁区红梅公园","江苏省",519,"CZ","天宁区",320402,119.973284,31.77464,"常州红梅公园","c(119.973284"," 31.77464)"
"72","江苏省苏州市常熟市常熟服装城","江苏省",512,"SZ","常熟市",320581,120.742587,31.6199,"常熟服装城购物景区","c(120.742587"," 31.6199)"
"73","江苏省南通市崇川区南通博物苑","江苏省",513,"NT","崇川区",320602,120.870167,32.01129,"南通博物苑","c(120.870167"," 32.01129)"
"74","江苏省扬州市邗江区扬州博物馆","江苏省",514,"YZ","邗江区",321003,119.372004,32.39144,"扬州博物馆","c(119.372004"," 32.39144)"
"75","江苏省南京市栖霞区栖霞山风景名胜区管理处","江苏省",25,"NJ","栖霞区",320113,118.953921,32.14872,"南京栖霞山风景名胜区","c(118.953921"," 32.14872)"
"76","江苏省南京市玄武区梅园新村纪念馆","江苏省",25,"NJ","玄武区",320102,118.80156,32.04226,"南京梅园新村纪念馆","c(118.80156"," 32.04226)"
"77","江苏省无锡市梁溪区崇安寺景区","江苏省",510,"WX","梁溪区",320213,120.301235,31.57687,"无锡崇安寺景区","c(120.301235"," 31.57687)"
"78","江苏省无锡市宜兴市宜兴","江苏省",510,"WX","宜兴市",320282,119.805597,31.34258,"宜兴陶祖圣境景区","c(119.805597"," 31.34258)"
"79","江苏省徐州市泉山区汉画像石艺术馆","江苏省",516,"XZ","泉山区",320311,117.177244,34.24104,"徐州汉画像石艺术馆","c(117.177244"," 34.24104)"
"80","江苏省徐州市沛县沛县汉城景区","江苏省",516,"XZ","沛县",320322,116.929501,34.72997,"徐州沛县汉城景区","c(116.929501"," 34.72997)"
"81","江苏省苏州市吴中区穹窿山风景区","江苏省",512,"SZ","吴中区",320506,120.445841,31.26706,"苏州穹窿山风景区","c(120.445841"," 31.26706)"
"82","江苏省苏州市昆山市千灯古镇","江苏省",512,"SZ","昆山市",320583,121.002311,31.26548,"昆山千灯古镇游览区","c(121.002311"," 31.26548)"
"83","江苏省南通市崇川区中国珠算博物馆","江苏省",513,"NT","崇川区",320602,120.858292,32.0238,"南通中国珠算博物馆","c(120.858292"," 32.0238)"
"84","江苏省连云港市赣榆区抗日山风景区","江苏省",518,"LYG","赣榆区",320707,118.862541,34.88722,"连云港赣榆抗日山风景区","c(118.862541"," 34.88722)"
"85","江苏省淮安市淮安区周恩来故居","江苏省",517,"HA","淮安区",320803,119.142588,33.50691,"淮安周恩来故居","c(119.142588"," 33.50691)"
"86","江苏省泰州市海陵区凤城河风景区","江苏省",523,"TZ","海陵区",321202,119.927837,32.4818,"泰州凤城河风景区","c(119.927837"," 32.4818)"
"87","江苏省无锡市滨湖区横山风景区","江苏省",510,"WX","滨湖区",320211,120.22506,31.55645,"无锡梅园横山风景区","c(120.22506"," 31.55645)"
"88","江苏省常州市新北区常州博物馆","江苏省",519,"CZ","新北区",320411,119.974065,31.80829,"常州市博物馆","c(119.974065"," 31.80829)"
"89","江苏省苏州市吴中区东山景区","江苏省",512,"SZ","吴中区",320506,120.385813,31.07915,"苏州东山景区","c(120.385813"," 31.07915)"
"90","江苏省淮安市盱眙县盱眙明祖陵","江苏省",517,"HA","盱眙县",320830,118.47684,33.08461,"淮安盱眙明祖陵","c(118.47684"," 33.08461)"
"91","江苏省宿迁市宿城区雪枫公园","江苏省",527,"SQ","宿城区",321302,118.298837,33.97731,"宿迁雪枫公园","c(118.298837"," 33.97731)"
"92","江苏省徐州市邳州市艾山村","江苏省",516,"XZ","邳州市",320382,117.992088,34.5041,"邳州艾山九龙景区","c(117.992088"," 34.5041)"
"93","江苏省连云港市东海县珠宝城公寓","江苏省",518,"LYG","东海县",320722,118.787296,34.52956,"连云港市东海县国际水晶珠宝城","c(118.787296"," 34.52956)"
"94","江苏省淮安市清江浦区淮安市博物馆","江苏省",517,"HA","清江浦区",320812,119.011871,33.61231,"淮安市博物馆","c(119.011871"," 33.61231)"
"95","江苏省淮安市盱眙县第一山","江苏省",517,"HA","盱眙县",320830,118.498761,33.01635,"盱眙第一山景区","c(118.498761"," 33.01635)"
"96","江苏省盐城市","江苏省",515,"YC","list()",320900,120.163561,33.34738,"盐城海盐历史文化风景区","c(120.163561"," 33.34738)"
"97","江苏省盐城市盐都区大纵湖旅游景区","江苏省",515,"YC","盐都区",320903,119.823982,33.1779,"盐城大纵湖旅游景区","c(119.823982"," 33.1779)"
"98","江苏省扬州市邗江区京华城","江苏省",514,"YZ","邗江区",321003,119.363656,32.38294,"扬州京华城休闲旅游区","c(119.363656"," 32.38294)"
"99","江苏省镇江市京口区北固山风景区","江苏省",511,"ZJ","京口区",321102,119.456345,32.21477,"镇江北固山风景区","c(119.456345"," 32.21477)"
"100","江苏省宿迁市泗洪县湿地公园","江苏省",527,"SQ","泗洪县",321324,118.318582,33.2373,"泗洪洪泽湖湿地公园","c(118.318582"," 33.2373)"
"101","江苏省苏州市姑苏区苏州园林","江苏省",512,"SZ","姑苏区",320508,120.629029,31.32416,"苏州园林(拙政园、虎丘、留园）","c(120.629029"," 31.32416)"
"102","江苏省苏州市吴中区旺山景区","江苏省",512,"SZ","吴中区",320506,120.542009,31.21835,"苏州市旺山景区","c(120.542009"," 31.21835)"
"103","江苏省南京市建邺区侵华日军南京大屠杀遇难同胞纪念馆","江苏省",25,"NJ","建邺区",320105,118.742372,32.03521,"侵华日军南京大屠杀遇难同胞纪念馆","c(118.742372"," 32.03521)"
"104","江苏省南京市雨花台区南京科技馆","江苏省",25,"NJ","雨花台区",320114,118.784854,31.98639,"南京科技馆","c(118.784854"," 31.98639)"
"105","江苏省无锡市梁溪区东林书院","江苏省",510,"WX","梁溪区",320213,120.30854,31.57692,"无锡东林书院","c(120.30854"," 31.57692)"
"106","江苏省常州市钟楼区青枫公园","江苏省",519,"CZ","钟楼区",320404,119.898969,31.79728,"常州青枫公园","c(119.898969"," 31.79728)"
"107","江苏省常州市武进区中国春秋淹城旅游区","江苏省",519,"CZ","武进区",320412,119.932189,31.70224,"常州中国春秋淹城旅游区","c(119.932189"," 31.70224)"
"108","江苏省苏州市吴中区重元寺","江苏省",512,"SZ","吴中区",320506,120.781891,31.4062,"苏州重元寺","c(120.781891"," 31.4062)"
"109","江苏省无锡市梁溪区无锡博物院","江苏省",510,"WX","梁溪区",320213,120.305869,31.54961,"无锡博物院","c(120.305869"," 31.54961)"
"110","江苏省无锡市新吴区鸿山遗址博物馆","江苏省",510,"WX","新吴区",320214,120.508123,31.49274,"无锡鸿山遗址博物馆","c(120.508123"," 31.49274)"
"111","江苏省无锡市滨湖区太湖欢乐园","江苏省",510,"WX","滨湖区",320211,120.23592,31.58357,"无锡动物园·太湖欢乐园","c(120.23592"," 31.58357)"
"112","江苏省常州市溧阳市天目湖","江苏省",519,"CZ","溧阳市",320481,119.441978,31.31856,"常州天目湖御水温泉景区","c(119.441978"," 31.31856)"
"113","江苏省苏州市吴中区金鸡湖景区","江苏省",512,"SZ","吴中区",320506,120.698571,31.31155,"苏州金鸡湖景区","c(120.698571"," 31.31155)"
"114","江苏省苏州市姑苏区七里山塘景区","江苏省",512,"SZ","姑苏区",320508,120.602543,31.31681,"苏州七里山塘景区","c(120.602543"," 31.31681)"
"115","江苏省苏州市姑苏区历史文化街区","江苏省",512,"SZ","姑苏区",320508,120.633138,31.31718,"苏州平江历史文化街区","c(120.633138"," 31.31718)"
"116","江苏省苏州市张家港市张家港市凤凰山景区","江苏省",512,"SZ","张家港市",320582,120.646561,31.76873,"张家港凤凰山景区","c(120.646561"," 31.76873)"
"117","江苏省苏州市虎丘区太湖国家湿地公园","江苏省",512,"SZ","虎丘区",320505,120.359542,31.32421,"苏州太湖国家湿地公园","c(120.359542"," 31.32421)"
"118","江苏省苏州市常熟市蒋巷","江苏省",512,"SZ","常熟市",320581,120.967247,31.50467,"常熟蒋巷乡村旅游景区","c(120.967247"," 31.50467)"
"119","江苏省淮安市清江浦区古淮河文化生态景区","江苏省",517,"HA","清江浦区",320812,119.090455,33.61095,"淮安古淮河文化生态景区","c(119.090455"," 33.61095)"
"120","江苏省淮安市盱眙县军军部纪念馆","江苏省",517,"HA","盱眙县",320830,118.750159,32.88605,"盱眙黄花塘新四军军部纪念馆","c(118.750159"," 32.88605)"
"121","江苏省淮安市淮安区淮安府署","江苏省",517,"HA","淮安区",320803,119.14577,33.51078,"淮安府署","c(119.14577"," 33.51078)"
"122","江苏省盐城市亭湖区新四军纪念馆","江苏省",515,"YC","亭湖区",320902,120.161567,33.38966,"盐城新四军纪念馆","c(120.161567"," 33.38966)"
"123","江苏省扬州市广陵区茱萸湾风景区","江苏省",514,"YZ","广陵区",321002,119.488737,32.43316,"扬州茱萸湾风景区","c(119.488737"," 32.43316)"
"124","江苏省镇江市润州区历史文化街区","江苏省",511,"ZJ","润州区",321111,119.430351,32.21548,"镇江西津渡历史文化街区","c(119.430351"," 32.21548)"
"125","江苏省泰州市姜堰区溱潼","江苏省",523,"TZ","姜堰区",321204,120.083139,32.64218,"姜堰溱潼古镇旅游区","c(120.083139"," 32.64218)"
"126","江苏省南京市鼓楼区森林动物园","江苏省",25,"NJ","鼓楼区",320106,118.799327,32.09528,"南京红山森林动物园","c(118.799327"," 32.09528)"
"127","江苏省南京市高淳区高淳老街","江苏省",25,"NJ","高淳区",320118,118.869265,31.31952,"南京高淳老街历史文化景区","c(118.869265"," 31.31952)"
"128","江苏省无锡市梁溪区景区","江苏省",510,"WX","梁溪区",320213,120.30899,31.56656,"无锡市南禅寺景区","c(120.30899"," 31.56656)"
"129","江苏省无锡市新吴区鸿山泰伯景区","江苏省",510,"WX","新吴区",320214,120.488323,31.5492,"无锡鸿山泰伯景区","c(120.488323"," 31.5492)"
"130","江苏省无锡市宜兴市宜兴","江苏省",510,"WX","宜兴市",320282,119.805597,31.34258,"宜兴张公洞旅游景区","c(119.805597"," 31.34258)"
"131","江苏省徐州市新沂市新沂","江苏省",516,"XZ","新沂市",320381,118.354537,34.36958,"新沂窑湾古镇景区","c(118.354537"," 34.36958)"
"132","江苏省常州市武进区环球动漫嬉戏谷","江苏省",519,"CZ","武进区",320412,120.047263,31.50044,"常州环球动漫嬉戏谷","c(120.047263"," 31.50044)"
"133","江苏省苏州市吴中区太湖旅游区","江苏省",512,"SZ","吴中区",320506,120.398319,31.22848,"苏州吴中太湖旅游区","c(120.398319"," 31.22848)"
"134","江苏省苏州市吴中区重元寺","江苏省",512,"SZ","吴中区",320506,120.781891,31.4062,"苏州工业园区重元寺","c(120.781891"," 31.4062)"
"135","江苏省苏州市太仓市现代农业园","江苏省",512,"SZ","太仓市",320585,121.214459,31.49469,"太仓现代农业园","c(121.214459"," 31.49469)"
"136","江苏省南通市如皋市水绘园景区","江苏省",513,"NT","如皋市",320682,120.570074,32.3953,"如皋水绘园景区","c(120.570074"," 32.3953)"
"137","江苏省南通市海门市国际家纺馆家纺产业旅游区","江苏省",513,"NT","海门市",320684,121.083578,31.96522,"海门叠石桥国际家纺馆·家纺产业旅游区","c(121.083578"," 31.96522)"
"138","江苏省南通市如皋市中国工农红军第十四军纪念馆","江苏省",513,"NT","如皋市",320682,120.592057,32.38616,"如皋中国工农红军第十四军纪念馆","c(120.592057"," 32.38616)"
"139","江苏省连云港市灌云县大伊山风景区","江苏省",518,"LYG","灌云县",320723,119.23893,34.31355,"灌云大伊山风景区","c(119.23893"," 34.31355)"
"140","江苏省连云港市","江苏省",518,"LYG","list()",320700,119.221611,34.59665,"连云港东海羽泉景区","c(119.221611"," 34.59665)"
"141","江苏省淮安市淮安区中国漕运博物馆","江苏省",517,"HA","淮安区",320803,119.145023,33.50713,"淮安中国漕运博物馆景区","c(119.145023"," 33.50713)"
"142","江苏省扬州市广陵区历史文化旅游区","江苏省",514,"YZ","广陵区",321002,119.452683,32.39793,"扬州东关历史文化旅游区","c(119.452683"," 32.39793)"
"143","江苏省镇江市京口区焦山","江苏省",511,"ZJ","京口区",321102,119.484063,32.23905,"镇江金山·焦山·北固山景区","c(119.484063"," 32.23905)"
"144","江苏省镇江市丹徒区中国醋文化博物馆","江苏省",511,"ZJ","丹徒区",321112,119.479579,32.10376,"镇江中国醋文化博物馆","c(119.479579"," 32.10376)"
"145","江苏省宿迁市泗阳县杨树博物馆","江苏省",527,"SQ","泗阳县",321323,118.689791,33.68025,"泗阳杨树博物馆","c(118.689791"," 33.68025)"
"146","江苏省宿迁市宿豫区湖滨公园","江苏省",527,"SQ","宿豫区",321311,118.272683,34.05282,"宿迁湖滨公园景区","c(118.272683"," 34.05282)"
"147","江苏省苏州市常熟市沙家浜","江苏省",512,"SZ","常熟市",320581,120.814645,31.56813,"苏州沙家浜·虞山尚湖旅游区","c(120.814645"," 31.56813)"
"148","江苏省南京市浦口区珍珠泉风景区","江苏省",25,"NJ","浦口区",320111,118.699954,32.09616,"南京珍珠泉风景区","c(118.699954"," 32.09616)"
"149","江苏省无锡市新吴区中华赏石园","江苏省",510,"WX","新吴区",320214,120.509633,31.50247,"无锡中华赏石园景区","c(120.509633"," 31.50247)"
"150","江苏省徐州市鼓楼区龟山景区","江苏省",516,"XZ","鼓楼区",320302,117.138295,34.30726,"徐州龟山景区","c(117.138295"," 34.30726)"
"151","江苏省苏州市吴中区天平山景区","江苏省",512,"SZ","吴中区",320506,120.502977,31.28774,"苏州天平山景区","c(120.502977"," 31.28774)"
"152","江苏省苏州市虎丘区石湖景区","江苏省",512,"SZ","虎丘区",320505,120.598128,31.24293,"苏州石湖景区","c(120.598128"," 31.24293)"
"153","江苏省苏州市虎丘区中国刺绣艺术馆","江苏省",512,"SZ","虎丘区",320505,120.345241,31.33452,"苏州中国刺绣艺术馆","c(120.345241"," 31.33452)"
"154","江苏省连云港市","江苏省",518,"LYG","list()",320700,119.221611,34.59665,"连云港革命历史纪念馆","c(119.221611"," 34.59665)"
"155","江苏省盐城市阜宁县金沙湖旅游区","江苏省",515,"YC","阜宁县",320923,119.80316,33.71892,"阜宁金沙湖旅游区","c(119.80316"," 33.71892)"
"156","江苏省徐州市云龙区徐州博物馆","江苏省",516,"XZ","云龙区",320303,117.186093,34.25058,"徐州市博物馆","c(117.186093"," 34.25058)"
"157","江苏省徐州市贾汪区蟠桃佛教文化景区","江苏省",516,"XZ","贾汪区",320305,117.266537,34.29538,"徐州蟠桃山佛教文化景区","c(117.266537"," 34.29538)"
"158","江苏省连云港市","江苏省",518,"LYG","list()",320700,119.221611,34.59665,"连云港海上云台山景区","c(119.221611"," 34.59665)"
"159","江苏省淮安市淮安区吴承恩故居","江苏省",517,"HA","淮安区",320803,119.138706,33.52792,"淮安吴承恩故居景区","c(119.138706"," 33.52792)"
"160","江苏省南京市溧水区白马村","江苏省",25,"NJ","溧水区",320117,119.188863,31.56939,"南京白马如意文化艺术中心（周园）","c(119.188863"," 31.56939)"
"161","江苏省南京市玄武区南京博物院","江苏省",25,"NJ","玄武区",320102,118.825147,32.04078,"南京博物院","c(118.825147"," 32.04078)"
"162","江苏省无锡市梁溪区景区","江苏省",510,"WX","梁溪区",320213,120.30899,31.56656,"无锡南禅寺景区","c(120.30899"," 31.56656)"
"163","江苏省无锡市梁溪区古运河景区","江苏省",510,"WX","梁溪区",320213,120.311399,31.56211,"无锡清名桥古运河景区","c(120.311399"," 31.56211)"
"164","江苏省无锡市宜兴市中国宜兴陶瓷博物馆","江苏省",510,"WX","宜兴市",320282,119.830582,31.25941,"宜兴陶瓷博物馆","c(119.830582"," 31.25941)"
"165","江苏省无锡市宜兴市宜兴","江苏省",510,"WX","宜兴市",320282,119.805597,31.34258,"宜兴云湖旅游景区","c(119.805597"," 31.34258)"
"166","江苏省无锡市锡山区荡口古镇景区","江苏省",510,"WX","锡山区",320205,120.553211,31.52528,"无锡荡口古镇景区","c(120.553211"," 31.52528)"
"167","江苏省无锡市惠山区桃花源景区","江苏省",510,"WX","惠山区",320206,120.106222,31.59423,"无锡阳山桃花源景区","c(120.106222"," 31.59423)"
"168","江苏省徐州市沛县沛县汉城景区","江苏省",516,"XZ","沛县",320322,116.929501,34.72997,"沛县汉城景区","c(116.929501"," 34.72997)"
"169","江苏省徐州市贾汪区潘安湖湿地公园","江苏省",516,"XZ","贾汪区",320305,117.35548,34.3579,"徐州潘安湖湿地公园","c(117.35548"," 34.3579)"
"170","江苏省徐州市贾汪区大洞山景区","江苏省",516,"XZ","贾汪区",320305,117.50094,34.40539,"徐州大洞山景区","c(117.50094"," 34.40539)"
